Entrada/Saída;Data;Movimentação;Produto;Instituição;Quantidade;Preço unitário;Valor da Operação
Credito;08/11/2022;Transferência - Liquidação;RECR11 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;MODAL DTVM LTDA;10; R$90,54 ; R$905,40 
Credito;08/11/2022;Transferência - Liquidação;URPR11 - URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;MODAL DTVM LTDA;10; R$101,15 ; R$1.011,50 
Debito;28/10/2022;Direitos de Subscrição - Não Exercido;VRTA12 - FATOR VERITA FUNDO DE INVESTIMENTO IMOBILIARIO;MODAL DTVM LTDA;0; - ; - 
Debito;27/10/2022;Transferência - Liquidação;GALG11 - GUARDIAN LOGISTICA FDO. INVEST. IMOB.;MODAL DTVM LTDA;200; R$9,64 ; R$1.928,00 
Credito;27/10/2022;Transferência - Liquidação;HGLG11 - CSHG LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO - FII;MODAL DTVM LTDA;12; R$165,06 ; R$1.980,72 
Credito;27/10/2022;Transferência - Liquidação;KISU11 - KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS;MODAL DTVM LTDA;6; R$8,88 ; R$53,28 
Credito;27/10/2022;Cessão de Direitos;VRTA12 - FATOR VERITA FUNDO DE INVESTIMENTO IMOBILIARIO;MODAL DTVM LTDA;9; - ; - 
Debito;27/10/2022;Cessão de Direitos - Solicitada;VRTA12 - FATOR VERITA FUNDO DE INVESTIMENTO IMOBILIARIO;MODAL DTVM LTDA;9; - ; - 
Credito;25/10/2022;Rendimento;ALZR11 - ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO;MODAL DTVM LTDA;46; R$0,80 ; R$36,59 
Credito;25/10/2022;Rendimento;BTLG11 - BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO;MODAL DTVM LTDA;57; R$0,74 ; R$42,18 
Credito;24/10/2022;Compra;Tesouro Selic 2027;MODAL DTVM LTDA;2,61; R$12.246,58 ; R$31.963,57 
Credito;20/10/2022;Transferência - Liquidação;AERI3 - AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A.;MODAL DTVM LTDA;500; R$2,01 ; R$1.005,00 
Credito;20/10/2022;Transferência - Liquidação;OIBR3 - OI S.A;MODAL DTVM LTDA;3000; R$0,32 ; R$960,00 
Credito;20/10/2022;Transferência - Liquidação;SAPR3 - CIA DE SANEAMENTO DO PARANA - SANEPAR;MODAL DTVM LTDA;300; R$3,35 ; R$1.005,00 
Credito;20/10/2022;Rendimento;VGIP11 - VALORA CRI ÍNDICE DE PREÇO FII;MODAL DTVM LTDA;12; R$0,45 ; R$5,40 
Debito;20/10/2022;Direitos de Subscrição - Não Exercido;VISC12 - VINCI SHOPPING CENTERS FI IMOBILIÁRIO - FII;MODAL DTVM LTDA;0; - ; - 
Credito;19/10/2022;Transferência - Liquidação;CVBI11 - FDO INV. IMOB. VBI CRI;MODAL DTVM LTDA;7; R$89,05 ; R$623,35 
Credito;19/10/2022;Transferência - Liquidação;KISU11 - KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS;MODAL DTVM LTDA;6; R$8,64 ; R$51,84 
Credito;19/10/2022;Transferência - Liquidação;RECR11 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;MODAL DTVM LTDA;7; R$88,21 ; R$617,47 
Credito;19/10/2022;Cessão de Direitos;VISC12 - VINCI SHOPPING CENTERS FI IMOBILIÁRIO - FII;MODAL DTVM LTDA;2; - ; - 
Debito;19/10/2022;Cessão de Direitos - Solicitada;VISC12 - VINCI SHOPPING CENTERS FI IMOBILIÁRIO - FII;MODAL DTVM LTDA;2; - ; - 
Credito;18/10/2022;Rendimento;CVBI11 - FDO INV. IMOB. VBI CRI;MODAL DTVM LTDA;89; R$0,66 ; R$58,74 
Credito;17/10/2022;Transferência - Liquidação;HGLG11 - CSHG LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO - FII;MODAL DTVM LTDA;10; R$168,22 ; R$1.682,28 
Credito;17/10/2022;Rendimento;KISU11 - KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS;MODAL DTVM LTDA;1581; R$0,08 ; R$118,57 
Credito;17/10/2022;Rendimento;KNRI11 - KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII;MODAL DTVM LTDA;45; R$0,91 ; R$40,95 
Credito;17/10/2022;Transferência - Liquidação;KNSC11 - KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIARIO - FII;MODAL DTVM LTDA;12; R$85,46 ; R$1.025,52 
Credito;17/10/2022;Rendimento;RECR11 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;MODAL DTVM LTDA;128; R$0,60 ; R$76,80 
Credito;17/10/2022;Transferência - Liquidação;URPR11 - URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;MODAL DTVM LTDA;10; R$102,01 ; R$1.020,18 
Credito;17/10/2022;Rendimento;URPR11 - URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;MODAL DTVM LTDA;40; R$1,31 ; R$52,40 
Credito;17/10/2022;Transferência - Liquidação;VGIP11 - VALORA CRI ÍNDICE DE PREÇO FII;MODAL DTVM LTDA;12; R$89,73 ; R$1.076,76 
Credito;17/10/2022;Rendimento;VISC11 - VINCI SHOPPING CENTERS FI IMOBILIÁRIO - FII;MODAL DTVM LTDA;54; R$0,74 ; R$39,96 
Credito;17/10/2022;Direito de Subscrição;VRTA12 - FATOR VERITA FUNDO DE INVESTIMENTO IMOBILIARIO;MODAL DTVM LTDA;9; - ; - 
Credito;17/10/2022;Rendimento;XPLG11 - XP LOG FUNDO DE INVESTIMENTO IMOBILIARIO FII;MODAL DTVM LTDA;143; R$0,74 ; R$105,82 
Debito;14/10/2022;Transferência - Liquidação;IVVB11 - ISHARE S&P 500 FIC EM FUNDO DE INDICE IE;MODAL DTVM LTDA;83; R$204,58 ; R$16.980,14 
Credito;14/10/2022;Rendimento;KNSC11 - KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIARIO - FII;MODAL DTVM LTDA;23; R$0,50 ; R$11,50 
Credito;13/10/2022;Transferência - Liquidação;CSAN3 - COSAN S.A.;MODAL DTVM LTDA;100; R$15,43 ; R$1.543,00 
Credito;13/10/2022;Transferência - Liquidação;RECR11 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;MODAL DTVM LTDA;10; R$89,10 ; R$891,00 
Credito;07/10/2022;Rendimento;GALG11 - GUARDIAN LOGISTICA FDO. INVEST. IMOB.;MODAL DTVM LTDA;200; R$0,08 ; R$16,40 
Credito;07/10/2022;Rendimento;HSML11 - HSI MALL FDO INV IMOB;MODAL DTVM LTDA;86; R$0,68 ; R$58,48 
Credito;06/10/2022;Direito de Subscrição;VISC12 - VINCI SHOPPING CENTERS FI IMOBILIÁRIO - FII;MODAL DTVM LTDA;2; - ; - 
Credito;06/10/2022;Transferência - Liquidação;VRTA11 - FATOR VERITA FUNDO DE INVESTIMENTO IMOBILIARIO;MODAL DTVM LTDA;23; R$91,50 ; R$2.104,50 
Credito;04/10/2022;Transferência - Liquidação;URPR11 - URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;MODAL DTVM LTDA;10; R$103,08 ; R$1.030,80 
Credito;23/09/2022;Rendimento;ALZR11 - ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO;MODAL DTVM LTDA;46; R$5,65 ; R$259,93 
Credito;23/09/2022;Rendimento;BTLG11 - BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO;MODAL DTVM LTDA;57; R$0,74 ; R$42,18 
Debito;22/09/2022;Transferência - Liquidação;MXRF11 - MAXI RENDA FUNDO DE INVESTIMENTO IMOBILIARIO - FII;MODAL DTVM LTDA;26; R$10,29 ; R$267,54 
Credito;20/09/2022;Transferência - Liquidação;KISU11 - KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS;MODAL DTVM LTDA;17; R$8,35 ; R$141,95 
Credito;19/09/2022;Transferência - Liquidação;HSML11 - HSI MALL FDO INV IMOB;MODAL DTVM LTDA;5; R$89,80 ; R$449,00 
Credito;19/09/2022;Transferência - Liquidação;URPR11 - URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;MODAL DTVM LTDA;5; R$103,19 ; R$515,95 
Credito;16/09/2022;Rendimento;CVBI11 - FDO INV. IMOB. VBI CRI;MODAL DTVM LTDA;89; R$0,74 ; R$65,86 
Credito;15/09/2022;Rendimento;KISU11 - KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS;MODAL DTVM LTDA;1564; R$0,07 ; R$109,48 
Credito;15/09/2022;Rendimento;KNRI11 - KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII;MODAL DTVM LTDA;45; R$0,91 ; R$40,95 
Credito;15/09/2022;Rendimento;MXRF11 - MAXI RENDA FUNDO DE INVESTIMENTO IMOBILIARIO - FII;MODAL DTVM LTDA;26; R$0,11 ; R$2,86 
Credito;15/09/2022;Rendimento;RECR11 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;MODAL DTVM LTDA;123; R$0,80 ; R$98,40 
Credito;15/09/2022;Rendimento;VISC11 - VINCI SHOPPING CENTERS FI IMOBILIÁRIO - FII;MODAL DTVM LTDA;54; R$0,72 ; R$38,88 
Credito;15/09/2022;Rendimento;XPLG11 - XP LOG FUNDO DE INVESTIMENTO IMOBILIARIO FII;MODAL DTVM LTDA;143; R$0,72 ; R$102,96 
Credito;14/09/2022;Rendimento;KNSC11 - KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIARIO - FII;MODAL DTVM LTDA;20; R$0,70 ; R$14,00 
Debito;14/09/2022;Venda;Tesouro IPCA+ 2035;MODAL DTVM LTDA;0,74; R$1.887,99 ; R$1.397,11 
Debito;14/09/2022;Venda;Tesouro Selic 2027;MODAL DTVM LTDA;2,01; R$12.060,54 ; R$24.241,69 
Credito;13/09/2022;Transferência - Liquidação;CVBI11 - FDO INV. IMOB. VBI CRI;MODAL DTVM LTDA;3; R$91,76 ; R$275,28 
Credito;13/09/2022;Transferência - Liquidação;KNSC11 - KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIARIO - FII;MODAL DTVM LTDA;3; R$85,65 ; R$256,95 
Credito;13/09/2022;Transferência - Liquidação;RECR11 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;MODAL DTVM LTDA;5; R$91,83 ; R$459,15 
Credito;12/09/2022;Transferência - Liquidação;GALG11 - GUARDIAN LOGISTICA FDO. INVEST. IMOB.;MODAL DTVM LTDA;200; R$9,72 ; R$1.945,00 
Credito;12/09/2022;Compra;Tesouro IPCA+ 2035;MODAL DTVM LTDA;0,74; R$1.953,96 ; R$1.445,93 
Credito;12/09/2022;Transferência - Liquidação;URPR11 - URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;MODAL DTVM LTDA;25; R$102,95 ; R$2.573,95 
Credito;09/09/2022;Transferência - Liquidação;CVBI11 - FDO INV. IMOB. VBI CRI;MODAL DTVM LTDA;10; R$92,35 ; R$923,50 
Credito;09/09/2022;Transferência - Liquidação;IVVB11 - ISHARE S&P 500 FIC EM FUNDO DE INDICE IE;MODAL DTVM LTDA;5; R$225,80 ; R$1.129,00 
Credito;08/09/2022;Rendimento;HSML11 - HSI MALL FDO INV IMOB;MODAL DTVM LTDA;81; R$0,67 ; R$54,27 
Credito;06/09/2022;Compra;Tesouro Selic 2027;MODAL DTVM LTDA;1; R$12.033,76 ; R$12.033,76 
Credito;31/08/2022;Transferência - Liquidação;BTLG11 - BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO;MODAL DTVM LTDA;10; R$102,18 ; R$1.021,80 
Credito;31/08/2022;Transferência - Liquidação;CVBI11 - FDO INV. IMOB. VBI CRI;MODAL DTVM LTDA;10; R$92,90 ; R$929,00 
Credito;31/08/2022;Transferência - Liquidação;HASH11 - HASHDEX NASDAQ CRYPTO INDEX FUNDO DE ÍNDICE;MODAL DTVM LTDA;25; R$18,55 ; R$463,75 
Debito;31/08/2022;Transferência - Liquidação;ITSA4 - ITAUSA S/A;MODAL DTVM LTDA;947; R$9,33 ; R$8.835,51 
Credito;31/08/2022;Transferência - Liquidação;IVVB11 - ISHARE S&P 500 FIC EM FUNDO DE INDICE IE;MODAL DTVM LTDA;5; R$222,78 ; R$1.113,90 
Credito;31/08/2022;Transferência - Liquidação;KNSC11 - KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIARIO - FII;MODAL DTVM LTDA;20; R$86,26 ; R$1.725,20 
Credito;30/08/2022;Juros Sobre Capital Próprio;ITSA4 - ITAUSA S/A;MODAL DTVM LTDA;947; R$0,01 ; R$8,29 
Credito;30/08/2022;Juros Sobre Capital Próprio;ITSA4 - ITAUSA S/A;NU INVEST CORRETORA DE VALORES S.A.;448; R$0,11 ; R$43,17 
Credito;26/08/2022;Compra;Tesouro Selic 2027;MODAL DTVM LTDA;0,09; R$11.990,22 ; R$1.079,12 
Credito;25/08/2022;Rendimento;ALZR11 - ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO;MODAL DTVM LTDA;46; R$0,78 ; R$35,96 
Credito;25/08/2022;Rendimento;BTLG11 - BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO;MODAL DTVM LTDA;47; R$0,74 ; R$34,78 
Debito;25/08/2022;Venda;Tesouro IPCA+ 2045;MODAL DTVM LTDA;0,94; R$1.079,00 ; R$1.014,26 
Credito;19/08/2022;Transferência - Liquidação;MXRF11 - MAXI RENDA FUNDO DE INVESTIMENTO IMOBILIARIO - FII;MODAL DTVM LTDA;26; R$9,97 ; R$259,22 
Credito;17/08/2022;Transferência - Liquidação;ALZR11 - ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO;MODAL DTVM LTDA;1; R$117,37 ; R$117,37 
Credito;15/08/2022;Transferência - Liquidação;CVBI11 - FDO INV. IMOB. VBI CRI;MODAL DTVM LTDA;24; R$91,33 ; R$2.191,98 
Credito;15/08/2022;Rendimento;CVBI11 - FDO INV. IMOB. VBI CRI;MODAL DTVM LTDA;42; R$1,00 ; R$42,00 
Credito;15/08/2022;Transferência - Liquidação;HSML11 - HSI MALL FDO INV IMOB;MODAL DTVM LTDA;5; R$81,99 ; R$409,95 
Debito;15/08/2022;Transferência - Liquidação;PSSA3 - PORTO SEGURO S/A;MODAL DTVM LTDA;88; R$21,51 ; R$1.892,88 
Credito;15/08/2022;Transferência - Liquidação;RECR11 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;MODAL DTVM LTDA;5; R$90,85 ; R$454,26 
Debito;15/08/2022;Transferência - Liquidação;TAEE11 - TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A;MODAL DTVM LTDA;33; R$43,10 ; R$1.422,30 
Credito;12/08/2022;Rendimento;KISU11 - KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS;MODAL DTVM LTDA;1554; R$0,07 ; R$108,78 
Credito;12/08/2022;Rendimento;KNRI11 - KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII;MODAL DTVM LTDA;30; R$0,91 ; R$27,30 
Credito;12/08/2022;Rendimento;RECR11 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;MODAL DTVM LTDA;118; R$1,02 ; R$120,41 
Credito;12/08/2022;Compra;Tesouro IPCA+ 2045;MODAL DTVM LTDA;0,94; R$1.085,25 ; R$1.020,14 
Credito;12/08/2022;Rendimento;VISC11 - VINCI SHOPPING CENTERS FI IMOBILIÁRIO - FII;MODAL DTVM LTDA;44; R$0,71 ; R$31,24 
Credito;12/08/2022;Rendimento;XPLG11 - XP LOG FUNDO DE INVESTIMENTO IMOBILIARIO FII;MODAL DTVM LTDA;143; R$0,72 ; R$102,96 
Credito;11/08/2022;Transferência - Liquidação;ALZR11 - ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO;MODAL DTVM LTDA;15; R$114,86 ; R$1.722,90 
Credito;11/08/2022;Transferência - Liquidação;BTLG11 - BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO;MODAL DTVM LTDA;14; R$100,57 ; R$1.407,98 
Credito;11/08/2022;Transferência - Liquidação;HSML11 - HSI MALL FDO INV IMOB;MODAL DTVM LTDA;10; R$79,30 ; R$793,00 
Credito;11/08/2022;Transferência - Liquidação;KISU11 - KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS;MODAL DTVM LTDA;10; R$7,77 ; R$77,70 
Credito;11/08/2022;Transferência - Liquidação;KNRI11 - KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII;MODAL DTVM LTDA;15; R$140,54 ; R$2.108,10 
Credito;11/08/2022;Transferência - Liquidação;VISC11 - VINCI SHOPPING CENTERS FI IMOBILIÁRIO - FII;MODAL DTVM LTDA;10; R$103,96 ; R$1.039,60 
Debito;10/08/2022;Transferência - Liquidação;BBAS3 - BANCO DO BRASIL S/A;MODAL DTVM LTDA;63; R$38,78 ; R$2.443,14 
Debito;10/08/2022;Transferência - Liquidação;CSAN3 - COSAN S.A.;MODAL DTVM LTDA;129; R$19,72 ; R$2.544,46 
Credito;10/08/2022;Transferência - Liquidação;IVVB11 - ISHARE S&P 500 FIC EM FUNDO DE INDICE IE;MODAL DTVM LTDA;41; R$232,65 ; R$9.538,90 
Debito;10/08/2022;Transferência - Liquidação;PSSA3 - PORTO SEGURO S/A;MODAL DTVM LTDA;200; R$21,07 ; R$4.214,00 
Debito;10/08/2022;Transferência - Liquidação;SMAL11 - ISHARES BM&FBOVESPA SMALL CAP FUNDO DE INDICE;MODAL DTVM LTDA;30; R$105,51 ; R$3.165,30 
Debito;10/08/2022;Transferência - Liquidação;TAEE11 - TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A;MODAL DTVM LTDA;100; R$42,91 ; R$4.291,00 
Credito;09/08/2022;Compra;Tesouro Selic 2027;MODAL DTVM LTDA;0,92; R$11.909,42 ; R$10.956,67 
