Entrada/Saída;Data;Movimentação;Produto;Instituição;Quantidade;Preço unitário;Valor da Operação
Credito;23/12/2022;Rendimento;ALZR11 - ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO;MODAL DTVM LTDA;46; R$0,73 ; R$33,37 
Credito;23/12/2022;Rendimento;XPML11 - XP MALLS FDO INV IMOB FII;MODAL DTVM LTDA;6; R$0,77 ; R$4,62 
Credito;16/12/2022;Rendimento;RBRR11 - FII RBR RENDIMENTO HIGH GRADE;MODAL DTVM LTDA;65; R$0,70 ; R$45,50 
Credito;15/12/2022;Rendimento;CVBI11 - FDO INV. IMOB. VBI CRI;MODAL DTVM LTDA;116; R$0,75 ; R$87,00 
Debito;15/12/2022;Venda;Tesouro Selic 2027;MODAL DTVM LTDA;2,61; R$12.462,03 ; R$32.525,90 
Credito;14/12/2022;Rendimento;HGLG11 - CSHG LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO - FII;MODAL DTVM LTDA;22; R$1,10 ; R$24,20 
Credito;14/12/2022;Rendimento;KISU11 - KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS;MODAL DTVM LTDA;1602; R$0,08 ; R$120,15 
Credito;14/12/2022;Rendimento;KNRI11 - KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII;MODAL DTVM LTDA;45; R$0,91 ; R$40,95 
Credito;14/12/2022;Rendimento;RECR11 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;MODAL DTVM LTDA;165; R$0,74 ; R$121,27 
Credito;14/12/2022;Rendimento;SDIL11 - SDI LOGISTICA RIO - FII- FII;MODAL DTVM LTDA;72; R$0,82 ; R$59,04 
Credito;14/12/2022;Rendimento;URPR11 - URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;MODAL DTVM LTDA;70; R$1,11 ; R$77,70 
Credito;14/12/2022;Rendimento;VISC11 - VINCI SHOPPING CENTERS FI IMOBILIÁRIO - FII;MODAL DTVM LTDA;54; R$0,76 ; R$41,04 
Credito;14/12/2022;Rendimento;XPLG11 - XP LOG FUNDO DE INVESTIMENTO IMOBILIARIO FII;MODAL DTVM LTDA;100; R$0,74 ; R$74,00 
Credito;13/12/2022;Rendimento;KNSC11 - KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIARIO - FII;MODAL DTVM LTDA;76; R$0,75 ; R$57,00 
Credito;07/12/2022;Rendimento;HSML11 - HSI MALL FDO INV IMOB;MODAL DTVM LTDA;86; R$0,68 ; R$58,48 
Credito;30/11/2022;Transferência - Liquidação;KISU11 - KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS;MODAL DTVM LTDA;9; R$8,04 ; R$72,36 
Credito;30/11/2022;Transferência - Liquidação;XPML11 - XP MALLS FDO INV IMOB FII;MODAL DTVM LTDA;6; R$98,80 ; R$592,83 
Debito;29/11/2022;Transferência - Liquidação;BTLG11 - BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO;MODAL DTVM LTDA;57; R$98,79 ; R$5.631,03 
Credito;29/11/2022;Transferência - Liquidação;KNSC11 - KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIARIO - FII;MODAL DTVM LTDA;16; R$85,50 ; R$1.368,00 
Credito;29/11/2022;Dividendo;PSSA3 - PORTO SEGURO S/A;NU INVEST CORRETORA DE VALORES S.A.;195; R$0,41 ; R$80,01 
Credito;29/11/2022;Dividendo;PSSA3 - PORTO SEGURO S/A;NU INVEST CORRETORA DE VALORES S.A.;195; R$0,04 ; R$7,24 
Credito;29/11/2022;Transferência - Liquidação;RBRR11 - FII RBR RENDIMENTO HIGH GRADE;MODAL DTVM LTDA;16; R$87,59 ; R$1.401,44 
Credito;29/11/2022;Transferência - Liquidação;SDIL11 - SDI LOGISTICA RIO - FII- FII;MODAL DTVM LTDA;72; R$91,25 ; R$6.570,00 
Debito;29/11/2022;Transferência - Liquidação;XPLG11 - XP LOG FUNDO DE INVESTIMENTO IMOBILIARIO FII;MODAL DTVM LTDA;43; R$99,09 ; R$4.260,87 
Credito;25/11/2022;Rendimento;ALZR11 - ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO;MODAL DTVM LTDA;46; R$0,78 ; R$35,65 
Credito;25/11/2022;Rendimento;BTLG11 - BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO;MODAL DTVM LTDA;57; R$0,74 ; R$42,18 
Credito;23/11/2022;Transferência - Liquidação;CVBI11 - FDO INV. IMOB. VBI CRI;MODAL DTVM LTDA;10; R$89,24 ; R$892,40 
Credito;23/11/2022;Transferência - Liquidação;KNSC11 - KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIARIO - FII;MODAL DTVM LTDA;25; R$85,46 ; R$2.136,50 
Credito;23/11/2022;Transferência - Liquidação;RECR11 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;MODAL DTVM LTDA;10; R$86,34 ; R$863,40 
Debito;22/11/2022;Transferência - Liquidação;AERI3 - AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A.;MODAL DTVM LTDA;500; R$1,49 ; R$745,00 
Debito;22/11/2022;Transferência - Liquidação;OIBR3 - OI S.A;MODAL DTVM LTDA;3000; R$0,18 ; R$540,00 
Debito;22/11/2022;Transferência - Liquidação;SAPR3 - CIA DE SANEAMENTO DO PARANA - SANEPAR;MODAL DTVM LTDA;300; R$3,20 ; R$960,00 
Credito;21/11/2022;Rendimento;VGIP11 - VALORA CRI ÍNDICE DE PREÇO FII;MODAL DTVM LTDA;12; R$0,45 ; R$5,40 
Credito;18/11/2022;Rendimento;RBRR11 - FII RBR RENDIMENTO HIGH GRADE;MODAL DTVM LTDA;49; R$0,70 ; R$34,30 
Debito;18/11/2022;Transferência - Liquidação;VGIP11 - VALORA CRI ÍNDICE DE PREÇO FII;MODAL DTVM LTDA;12; R$86,64 ; R$1.039,68 
Credito;17/11/2022;Rendimento;CVBI11 - FDO INV. IMOB. VBI CRI;MODAL DTVM LTDA;106; R$0,66 ; R$69,96 
Credito;16/11/2022;Rendimento;HGLG11 - CSHG LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO - FII;MODAL DTVM LTDA;22; R$1,10 ; R$24,20 
Credito;16/11/2022;Rendimento;KISU11 - KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS;MODAL DTVM LTDA;1593; R$0,08 ; R$119,47 
Credito;16/11/2022;Rendimento;KNRI11 - KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII;MODAL DTVM LTDA;45; R$0,91 ; R$40,95 
Credito;16/11/2022;Rendimento;RECR11 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;MODAL DTVM LTDA;155; R$0,44 ; R$68,55 
Credito;16/11/2022;Rendimento;URPR11 - URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;MODAL DTVM LTDA;50; R$1,13 ; R$56,50 
Credito;16/11/2022;Transferência - Liquidação;URPR11 - URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;MODAL DTVM LTDA;10; R$99,89 ; R$998,90 
Credito;16/11/2022;Rendimento;VISC11 - VINCI SHOPPING CENTERS FI IMOBILIÁRIO - FII;MODAL DTVM LTDA;54; R$0,75 ; R$40,50 
Credito;16/11/2022;Rendimento;XPLG11 - XP LOG FUNDO DE INVESTIMENTO IMOBILIARIO FII;MODAL DTVM LTDA;143; R$0,74 ; R$105,82 
Debito;14/11/2022;Transferência - Liquidação;CSAN3 - COSAN S.A.;MODAL DTVM LTDA;100; R$17,45 ; R$1.745,00 
Credito;14/11/2022;Transferência - Liquidação;HASH11 - HASHDEX NASDAQ CRYPTO INDEX FUNDO DE ÍNDICE;MODAL DTVM LTDA;110; R$15,60 ; R$1.716,00 
Credito;14/11/2022;Rendimento;KNSC11 - KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIARIO - FII;MODAL DTVM LTDA;35; R$0,52 ; R$18,20 
Credito;14/11/2022;Rendimento;VRTA11 - FATOR VERITA FUNDO DE INVESTIMENTO IMOBILIARIO;MODAL DTVM LTDA;23; R$1,00 ; R$23,00 
Credito;10/11/2022;Transferência - Liquidação;RBRR11 - FII RBR RENDIMENTO HIGH GRADE;MODAL DTVM LTDA;29; R$90,45 ; R$2.623,05 
Debito;10/11/2022;Transferência - Liquidação;VRTA11 - FATOR VERITA FUNDO DE INVESTIMENTO IMOBILIARIO;MODAL DTVM LTDA;23; R$95,73 ; R$2.201,79 
Credito;08/11/2022;Transferência - Liquidação;CVBI11 - FDO INV. IMOB. VBI CRI;MODAL DTVM LTDA;10; R$91,00 ; R$910,00 
Credito;08/11/2022;Rendimento;HSML11 - HSI MALL FDO INV IMOB;MODAL DTVM LTDA;86; R$0,68 ; R$58,48 
Credito;08/11/2022;Transferência - Liquidação;RBRR11 - FII RBR RENDIMENTO HIGH GRADE;MODAL DTVM LTDA;20; R$89,29 ; R$1.785,80 
