Entrada/Saída;Data;Movimentação;Produto;Instituição;Quantidade;Preço unitário;Valor da Operação
Credito;30/12/2020;Juros Sobre Capital Próprio;ABEV3 - AMBEV S.A.                                        ;CLEAR CORRETORA - GRUPO XP;75; R$0,41 ; R$26,37 
Credito;30/12/2020;Juros Sobre Capital Próprio;BBAS3 - BCO BRASIL S.A.                                   ;CLEAR CORRETORA - GRUPO XP;30; R$0,12 ; R$2,98 
Credito;28/12/2020;Juros Sobre Capital Próprio;TAEE3 - TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.     ;CLEAR CORRETORA - GRUPO XP;134; R$0,05 ; R$5,97 
Debito;28/12/2020;Direitos de Subscrição - Não Exercido;XPLG12 - XP LOG FDO INV IMOB - FII                         ;EASYNVEST - TITULO CV S/A;0; - ; - 
Debito;23/12/2020;Cessão de Direitos - Solicitada;XPLG12 - XP LOG FDO INV IMOB - FII                         ;EASYNVEST - TITULO CV S/A;5; - ; - 
Credito;23/12/2020;Cessão de Direitos;XPLG12 - XP LOG FDO INV IMOB - FII                         ;EASYNVEST - TITULO CV S/A;5; - ; - 
Credito;23/12/2020;Rendimento;XPML11 - XP MALLS FDO INV IMOB FII                         ;CLEAR CORRETORA - GRUPO XP;10; R$0,45 ; R$4,50 
Credito;23/12/2020;Rendimento;XPML11 - XP MALLS FDO INV IMOB FII                         ;EASYNVEST - TITULO CV S/A;27; R$0,45 ; R$12,15 
Debito;21/12/2020;Direitos de Subscrição - Não Exercido;TGAR12 - FDO INV IMOB TG ATIVO REAL                        ;EASYNVEST - TITULO CV S/A;0; - ; - 
Credito;18/12/2020;Cessão de Direitos;TGAR12 - FDO INV IMOB TG ATIVO REAL                        ;EASYNVEST - TITULO CV S/A;2; - ; - 
Debito;18/12/2020;Cessão de Direitos - Solicitada;TGAR12 - FDO INV IMOB TG ATIVO REAL                        ;EASYNVEST - TITULO CV S/A;2; - ; - 
Credito;15/12/2020;Transferência - Liquidação;RECR11 - FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS    ;EASYNVEST - TITULO CV S/A;3; R$105,24 ; R$315,72 
Credito;15/12/2020;Transferência - Liquidação;XPLG11 - XP LOG FDO INV IMOB - FII                         ;EASYNVEST - TITULO CV S/A;4; R$121,95 ; R$487,80 
